                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6131,                 2.7161,                 1.6204,                0.38652,                0.43949,                0.37768,                0.23432,                  1.354,                 2.0723,                 1.4331,             0.00022061,             0.00022061,             0.00022061
                      2,                 1.5088,                  1.972,                   1.55,                0.39615,                0.48781,                0.41448,                0.24161,                 1.4388,                 2.1121,                 1.4388,             0.00043856,             0.00043856,             0.00043856
                      3,                 1.5168,                 1.8923,                 1.5677,                0.50563,                0.48794,                0.43351,                0.25001,                 1.3875,                 2.0526,                 1.4627,              0.0006521,              0.0006521,              0.0006521
                      4,                  1.506,                  1.795,                 1.5466,                0.45027,                0.50259,                0.45451,                0.25885,                 1.4966,                 1.8234,                 1.5026,             0.00064719,             0.00064719,             0.00064719
                      5,                 1.4958,                 1.7781,                 1.5374,                0.42773,                0.55588,                0.49026,                0.28767,                 1.3853,                 1.8235,                 1.4786,             0.00064719,             0.00064719,             0.00064719
                      6,                 1.4538,                 1.7046,                 1.5392,                0.49708,                0.54528,                0.51342,                0.31708,                 1.3027,                 1.5528,                 1.4134,             0.00064059,             0.00064059,             0.00064059
                      7,                  1.418,                 1.6103,                 1.5101,                 0.5347,                0.59671,                 0.5618,                0.35225,                 1.2945,                  1.543,                 1.3836,             0.00063398,             0.00063398,             0.00063398
                      8,                  1.418,                 1.5992,                 1.5135,                0.52178,                0.63237,                0.58378,                0.35274,                 1.2648,                 1.4896,                 1.3966,             0.00062738,             0.00062738,             0.00062738
                      9,                 1.4102,                 1.5567,                 1.4957,                0.52755,                0.57632,                0.56803,                0.35637,                 1.2609,                 1.5764,                 1.3704,             0.00062078,             0.00062078,             0.00062078
                     10,                 1.3594,                 1.5222,                 1.4749,                0.59305,                0.62475,                0.61242,                0.38499,                  1.218,                 1.4966,                 1.3529,             0.00061417,             0.00061417,             0.00061417
                     11,                 1.3558,                 1.4957,                 1.4657,                0.66391,                0.60112,                0.68092,                  0.425,                 1.2118,                 1.3661,                 1.3461,             0.00060757,             0.00060757,             0.00060757
                     12,                  1.336,                 1.4525,                 1.4577,                0.73301,                0.57693,                 0.6721,                 0.4319,                 1.1698,                 1.2723,                 1.3313,             0.00060097,             0.00060097,             0.00060097
                     13,                 1.3394,                 1.4221,                 1.4625,                0.66251,                0.67498,                0.70369,                0.44399,                 1.1697,                 1.2782,                 1.3337,             0.00059436,             0.00059436,             0.00059436
